#;domain;problem;run-on;heuristic;search-strategy;tot-time;search-time;peak-memory (KB);generated;evaluated;expanded;%expanded;coverage;length;cost;%used;solution-quality;dead-ends;success (1-success, 0-failure)
;din phil;instance 1;Gurpreet;add;lazy_greedy;0.0441866s;0.0371416s;56128;63;39;38;60,32%;;18;18;47,37%;1;0;1
;din phil;instance 2;Gurpreet;add;lazy_greedy;0.0028619s;0.0009319s;56260;246;112;98;39,84%;;27;27;27,55%;1;13;1
;din phil;instance 3;Gurpreet;add;lazy_greedy;0.0076821s;0.0053355s;56260;1434;634;428;29,85%;;36;36;8,41%;1;205;1
;din phil;instance 4;Gurpreet;add;lazy_greedy;0.0200292s;0.016852s;56260;3130;1262;723;23,10%;;71;71;9,82%;1;538;1
;din phil;instance 5;Gurpreet;add;lazy_greedy;0.0418577s;0.0339405s;56392;5072;1849;953;18,79%;;70;70;7,35%;1;895;1
;din phil;instance 6;Gurpreet;add;lazy_greedy;0.0703711s;0.0600045s;56396;7778;2564;1231;15,83%;;79;79;6,42%;1;1332;1
;din phil;instance 7;Gurpreet;add;lazy_greedy;0.0613108s;0.0537472s;56532;11454;3425;1566;13,67%;;88;88;5,62%;1;1858;1
;din phil;instance 8;Gurpreet;add;lazy_greedy;0.0942947s;0.0808793s;56664;16329;4441;1965;12,03%;;97;97;4,94%;1;2475;1
;din phil;instance 9;Gurpreet;add;lazy_greedy;0.140155s;0.127065s;56664;22660;5623;2435;10,75%;;106;106;4,35%;1;3187;1
;din phil;instance 10;Gurpreet;add;lazy_greedy;0.186825s;0.180218s;56932;30699;6976;2977;9,70%;;115;115;3,86%;1;3998;1
;din phil;instance 11;Gurpreet;add;lazy_greedy;0.242186s;0.233269s;57192;40767;8515;3602;8,84%;;124;124;3,44%;1;4912;1
;din phil;instance 12;Gurpreet;add;lazy_greedy;0.258188s;0.246956s;57444;53211;10252;4318;8,11%;;133;133;3,08%;1;5933;1
;din phil;instance 13;Gurpreet;add;lazy_greedy;0.301921s;0.292781s;57756;68473;12208;5142;7,51%;;142;142;2,76%;1;7065;1
;din phil;instance 14;Gurpreet;add;lazy_greedy;0.361795s;0.351987s;58116;86896;14385;6072;6,99%;;151;151;2,49%;1;8312;1
;din phil;instance 15;Gurpreet;add;lazy_greedy;0.52177s;0.509349s;58656;108905;16794;7115;6,53%;;160;160;2,25%;1;9678;1
;din phil;instance 16;Gurpreet;add;lazy_greedy;0.575719s;0.562794s;59044;134953;19446;8278;6,13%;;169;169;2,04%;1;11167;1
;din phil;instance 17;Gurpreet;add;lazy_greedy;0.739126s;0.730803s;59540;165521;22352;9568;5,78%;;178;178;1,86%;1;12783;1
;din phil;instance 18;Gurpreet;add;lazy_greedy;0.794848s;0.781376s;60212;201118;25523;10992;5,47%;;187;187;1,70%;1;14530;1
;din phil;instance 19;Gurpreet;add;lazy_greedy;1.0576s;1.03737s;60992;242281;28970;12557;5,18%;;196;196;1,56%;1;16412;1
;din phil;instance 20;Gurpreet;add;lazy_greedy;1.18501s;1.1731s;61916;289588;32705;14271;4,93%;;205;205;1,44%;1;18433;1
;din phil;Instance 1;Gurpreet;cg;lazy_greedy;0.0152263s;0.0069389s;60664;105;71;70;66,67%;;18;18;25,71%;1;0;1
;din phil;Instance 2;Gurpreet;cg;lazy_greedy;0.0176465s;0.0101465s;60780;302;148;147;48,68%;;27;27;18,37%;1;0;1
;din phil;Instance 3;Gurpreet;cg;lazy_greedy;0.0248993s;0.0121214s;60760;621;204;203;32,69%;;36;36;17,73%;1;0;1
;din phil;Instance 4;Gurpreet;cg;lazy_greedy;0.0326568s;0.0225744s;56392;1634;398;397;24,30%;;45;45;11,34%;1;0;1
;din phil;Instance 5;Gurpreet;cg;lazy_greedy;0.0691937s;0.0409218s;82640;3109;611;610;19,62%;;54;54;8,85%;1;0;1
;din phil;Instance 6;Gurpreet;cg;lazy_greedy;0.0450373s;0.039064s;56524;5431;894;893;16,44%;;63;63;7,05%;1;0;1
;din phil;Instance 7;Gurpreet;cg;lazy_greedy;0.0629438s;0.0503657s;56664;8889;1258;1257;14,14%;;72;72;5,73%;1;0;1
;din phil;Instance 8;Gurpreet;cg;lazy_greedy;0.0899177s;0.0796462s;56660;13806;1713;1712;12,40%;;81;81;4,73%;1;0;1
;din phil;Instance 9;Gurpreet;cg;lazy_greedy;0.127878s;0.112133s;56920;20554;2270;2269;11,04%;;90;90;3,97%;1;0;1
;din phil;Instance 10;Gurpreet;cg;lazy_greedy;0.164211s;0.151009s;57052;29524;2935;2934;9,94%;;99;99;3,37%;1;0;1
;din phil;Instance 11;Gurpreet;cg;lazy_greedy;0.210646s;0.196786s;57328;41188;3723;3722;9,04%;;108;108;2,90%;1;0;1
;din phil;Instance 12;Gurpreet;cg;lazy_greedy;0.299613s;0.287715s;57596;56048;4645;4644;8,29%;;117;117;2,52%;1;0;1
;din phil;Instance 13;Gurpreet;cg;lazy_greedy;0.344231s;0.331825s;57864;74702;5720;5719;7,66%;;126;126;2,20%;1;0;1
;din phil;Instance 14;Gurpreet;cg;lazy_greedy;0.55075s;0.539848s;58228;97707;6952;6951;7,11%;;135;135;1,94%;1;0;1
;din phil;Instance 15;Gurpreet;cg;lazy_greedy;0.521305s;0.511388s;58716;125699;8352;8351;6,64%;;144;144;1,72%;1;0;1
;din phil;Instance 16;Gurpreet;cg;lazy_greedy;0.69671s;0.683912s;59192;159358;9931;9930;6,23%;;153;153;1,54%;1;0;1
