#;domain;problem;run-on;heuristic;search-strategy;tot-time;search-time;peak-memory (KB);generated;evaluated;expanded;%expanded;coverage;length;cost;%used;solution-quality;dead-ends;success (1-success, 0-failure)
;din phil;instance 1;Gurpreet;add;eager_greedy;0.0100507s;0.0029334s;56128;90;82;41;45,56%;;22;22;53,66%;1;20;1
;din phil;instance 2;Gurpreet;add;eager_greedy;0.0069334s;0.0030344s;56260;187;168;55;29,41%;;33;33;60,00%;1;43;1
;din phil;instance 3;Gurpreet;add;eager_greedy;0.0238889s;0.0170393s;56272;404;327;86;21,29%;;44;44;51,16%;1;101;1
;din phil;instance 4;Gurpreet;add;eager_greedy;0.0304172s;0.0202531s;56392;905;609;151;16,69%;;55;55;36,42%;1;215;1
;din phil;instance 5;Gurpreet;add;eager_greedy;0.0379332s;0.0292047s;56392;2363;1140;318;13,46%;;66;66;20,75%;1;458;1
;din phil;instance 6;Gurpreet;add;eager_greedy;0.0704992s;0.062507s;56524;7018;2315;791;11,27%;;77;77;9,73%;1;1015;1
;din phil;instance 7;Gurpreet;add;eager_greedy;0.864016s;0.852049s;56796;22424;5226;2182;9,73%;;88;88;4,03%;1;2366;1
;din phil;instance 8;Gurpreet;add;eager_greedy;0.343933s;0.333284s;57252;73691;12985;6327;8,59%;;99;99;1,56%;1;5787;1
;din phil;instance 9;Gurpreet;add;eager_greedy;1.01808s;1.00136s;58800;243493;34572;18734;7,69%;;110;110;0,59%;1;14750;1
;din phil;instance 10;Gurpreet;add;eager_greedy;3.4266s;3.41264s;62252;801885;96160;55927;6,97%;;121;121;0,22%;1;38907;1
;din phil;instance 11;Gurpreet;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;1611412;0
;din phil;instance 12;Gurpreet;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;1477170;0
;din phil;instance 13;Gurpreet;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;1384753;0
;din phil;instance 14;Gurpreet;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;1103842;0
;din phil;instance 15;Gurpreet;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;1203743;0
;din phil;instance 16;Gurpreet;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;903743;0
;din phil;instance 17;Gurpreet;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;830684;0
;din phil;instance 18;Gurpreet;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;732364;0
;din phil;instance 19;Gurpreet;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;1192374;0
;din phil;instance 20;Gurpreet;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;1283745;0
;din phil;instance 1;Gurpreet;cg;eager_greedy;0.0091043s;0.0020047s;56260;127;107;63;49,61%;;22;22;34,92%;1;4;1
;din phil;instance 2;Gurpreet;cg;eager_greedy;0.0179058s;0.0110045s;56260;329;281;99;30,09%;;33;33;33,33%;1;40;1
;din phil;instance 3;Gurpreet;cg;eager_greedy;0.0317582s;0.0242723s;56338;770;503;178;23,12%;;44;44;24,72%;1;112;1
;din phil;instance 4;Gurpreet;cg;eager_greedy;0.0458869s;0.0352543s;56524;2548;1221;461;18,09%;;55;55;11,93%;1;403;1
;din phil;instance 5;Gurpreet;cg;eager_greedy;0.0834739s;0.0724495s;56656;9051;3078;1324;14,63%;;66;66;4,98%;1;1229;1
;din phil;instance 6;Gurpreet;cg;eager_greedy;0.206829s;0.196101s;57076;32645;8209;3999;12,25%;;77;77;1,93%;1;3487;1
;din phil;instance 7;Gurpreet;cg;eager_greedy;0.643389s;0.629202s;57992;116982;22905;12326;10,54%;;88;88;0,71%;1;9628;1
;din phil;instance 8;Gurpreet;cg;eager_greedy;2.1989s;2.1804s;60908;413778;65970;38257;9,25%;;99;99;0,26%;1;26504;1
;din phil;instance 9;Gurpreet;cg;eager_greedy;7.45897s;7.44215s;68192;1443917;194132;118944;8,24%;;110;110;0,09%;1;73691;1
;din phil;instance 10;Gurpreet;cg;eager_greedy;2.59847s;2.57587s;527977;68635;192400;38048;55,44%;;121;121;0,32%;1;28926;1
;din phil;instance 11;Gurpreet;cg;eager_greedy;21.3818s;21.3525s;95112;3922900;578067;248014;6,32%;;132;132;0,05%;1;327862;1
;din phil;instance 12;Gurpreet;cg;eager_greedy;51.1632s;51.1274s;140984;10322625;1221145;602079;5,83%;;143;143;0,02%;1;616455;1
;din phil;instance 13;Gurpreet;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;916029;0
;din phil;instance 14;Gurpreet;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;114148;0
;din phil;instance 15;Gurpreet;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;115765;0
;din phil;instance 16;Gurpreet;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;122423;0
;din phil;instance 17;Gurpreet;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;127463;0
;din phil;instance 18;Gurpreet;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;1384732;0
;din phil;instance 19;Gurpreet;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;1234753;0
;din phil;instance 20;Gurpreet;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;1138475;0
;din phil;instance 1;Gurpreet;add+cg;eager_greedy;0.0176312s;0.0056903s;56280;94;84;45;47,87%;;22;22;48,89%;1;3;1
;din phil;instance 2;Gurpreet;add+cg;eager_greedy;0.0199913s;0.0102083s;56384;205;180;61;29,76%;;33;33;54,10%;1;17;1
