#;domain;problem;run-on;heuristic;search-strategy;tot-time ;search-time ;peak-memory (KB);generated;evaluated;expanded;%expanded;coverage;length;cost;%used;solution-quality;dead-ends;success (1-success, 0-failure)
;logistics;instance 1;Ryusei;add;lazy_greedy;0,0251987;0,0127436;56260;12282;554;553;4,50%;;31;31;5,61%;1;0;1
;logistics;instance 2;Ryusei;add;lazy_greedy;0,0521685;0,0449346;57176;94273;1913;1912;2,03%;;33;33;1,73%;1;0;1
;logistics;instance 3;Ryusei;add;lazy_greedy;0,767054;0,756947;70944;1598408;18514;18513;1,16%;;62;62;0,33%;1;0;1
;logistics;instance 4;Ryusei;add;lazy_greedy;0;;;;;;#DIV/0!;;0;0;#DIV/0!;#DIV/0!;0;0
;logistics;instance 5;Ryusei;add;lazy_greedy;0,0189053;0,0154978;56260;21783;990;989;4,54%;;27;27;2,73%;1;0;1
;logistics;instance 6;Ryusei;add;lazy_greedy;3,95592;3,93929;119716;7152019;9265;59264;0,83%;;82;82;0,14%;1;0;1
;logistics;instance 7;Ryusei;add;lazy_greedy;0,102408;0,0942398;58392;205189;2693;2692;1,31%;;35;35;1,30%;1;0;1
;logistics;instance 8;Ryusei;add;lazy_greedy;2,92151;2,90586;113308;6455415;43947;43946;0,68%;;47;47;0,11%;1;0;1
;logistics;instance 9;Ryusei;add;lazy_greedy;9,42995;9,40093;219672;18794457;99114;99113;0,53%;;94;94;0,09%;1;0;1
;logistics;instance 10;Ryusei;add;lazy_greedy;3,55464;3,52166;98644;4572558;36896;36895;0,81%;;119;119;0,32%;1;0;1
;logistics;instance 11;Ryusei;add;lazy_greedy;0,118023;0,109607;58788;236839;2790;2789;1,18%;;31;31;1,11%;1;0;1
;logistics;instance 12;Ryusei;add;lazy_greedy;27,3169;27,2725;764708;73451542;181209;181208;0,25%;;42;42;0,02%;1;0;1
;logistics;instance 13;Ryusei;add;lazy_greedy;31,3836;31,3344;725044;67639330;196257;196256;0,29%;;78;78;0,04%;1;0;1
;logistics;instance 14;Ryusei;add;lazy_greedy;3,72877;3,69645;109996;5852649;33287;33286;0,57%;;103;103;0,31%;1;0;1
;logistics;instance 15;Ryusei;add;lazy_greedy;;;;;;;;;;;;;0;0
;logistics;instance 16;Ryusei;add;lazy_greedy;2,49254;2,4674;106776;5655298;22552;22551;0,40%;;63;63;0,28%;1;0;1
